Four_Weeks_Periods,Retailer_Trade_Areas,Category,Sub_Category,Brand_High,Sales,Base_Sales,Incr_Sales,Units,Base_Units,Incr_Units,Percent_ACV,Any_Promo_Spend,Any_Promo_Base_Spend,Any_Promo_Incr_Spend,Disp_without_Feat_Spend,Disp_without_Feat_Base_Spend,Disp_without_Feat_Incr_Spend,Feat_and_Disp_Spend,Feat_and_Disp_Base_Spend,Feat_and_Disp_Incr_Spend,Feat_without_Disp_Spend,Feat_without_Disp_Base_Spend,Feat_without_Disp_Incr_Spend,No_Promo_Spend,No_Promo_Base_Spend,No_Promo_Incr_Spend,Price_Decr_Spend,Price_Decr_Base_Spend,Price_Decr_Incr_Spend,Any_Disp_Spend,Any_Disp_Base_Spend,Any_Disp_Incr_Spend,Any_Feat_Spend,Any_Feat_Base_Spend,Any_Feat_Incr_Spend,Any_Price_Decr_Spend,Any_Price_Decr_Base_Spend,Any_Price_Decr_Incr_Spend,Any_Promo_Units,Any_Promo_Base_Units,Any_Promo_Incr_Units,Disp_without_Feat_Units,Disp_without_Feat_Base_Units,Disp_without_Feat_Incr_Units,Feat_and_Disp_Units,Feat_and_Disp_Base_Units,Feat_and_Disp_Incr_Units,Feat_without_Disp_Units,Feat_without_Disp_Base_Units,Feat_without_Disp_Incr_Units,No_Promo_Units,No_Promo_Base_Units,No_Promo_Incr_Units,Price_Decr_Units,Price_Decr_Base_Units,Price_Decr_Incr_Units,Any_Disp_Units,Any_Disp_Base_Units,Any_Disp_Incr_Units,Any_Feat_Units,Any_Feat_Base_Units,Any_Feat_Incr_Units,Any_Price_Decr_Units,Any_Price_Decr_Base_Units,Any_Price_Decr_Incr_Units
4 W/E 09/17/11,TOTAL CENSUS TRADING AREA,SOUP,DRY SOUP,LIPTON,39723,40736,-1013,28586,29212,-626,100,2493,2867,-374,0,0,0,0,0,0,0,0,0,37230,37868,-639,2493,2867,-374,0,0,0,0,0,0,2493,2867,-374,1817,1879,-63,0,0,0,0,0,0,0,0,0,26769,27333,-564,1817,1879,-63,0,0,0,0,0,0,1817,1879,-63
4 W/E 09/17/11,TOTAL CENSUS TRADING AREA,SOUP,DRY SOUP,MCCORMICK,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4 W/E 09/17/11,TOTAL CENSUS TRADING AREA,SOUP,DRY SOUP,MRS WEISS,83,103,-20,41,51,-10,5,0,0,0,0,0,0,0,0,0,0,0,0,83,103,-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,51,-10,0,0,0,0,0,0,0,0,0,0,0,0
4 W/E 09/17/11,TOTAL CENSUS TRADING AREA,SOUP,DRY SOUP,PRIVATE LABEL,13106,13046,60,12461,12313,148,99,782,880,-98,149,144,5,0,0,0,0,0,0,12324,12166,158,633,736,-103,149,144,5,0,0,0,633,736,-103,669,696,-27,126,122,5,0,0,0,0,0,0,11792,11616,175,543,575,-31,126,122,5,0,0,0,543,575,-31
4 W/E 09/17/11,TOTAL CENSUS TRADING AREA,SOUP,DRY SOUP,SHORE LUNCH,6191,6799,-608,1388,1498,-110,83,163,241,-78,0,0,0,0,0,0,0,0,0,6028,6558,-529,163,241,-78,0,0,0,0,0,0,163,241,-78,58,53,5,0,0,0,0,0,0,0,0,0,1330,1445,-115,58,53,5,0,0,0,0,0,0,58,53,5
4 W/E 09/17/11,TOTAL CENSUS TRADING AREA,SOUP,DRY SOUP,TURTLE ISLAND JUST FOR JOY,85,71,14,15,12,3,1,0,0,0,0,0,0,0,0,0,0,0,0,85,71,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,12,3,0,0,0,0,0,0,0,0,0,0,0,0
4 W/E 09/17/11,TOTAL CENSUS TRADING AREA,SOUP,DRY SOUP,TURTLE ISLAND JUST FOR JOY & MCILHENNY,6,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4 W/E 09/17/11,TOTAL CENSUS TRADING AREA,SOUP,DRY SOUP,TURTLE ISLAND JUST FOR JOY & TABASCO,80,95,-15,14,17,-3,2,0,0,0,0,0,0,0,0,0,0,0,0,80,95,-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,17,-3,0,0,0,0,0,0,0,0,0,0,0,0
4 W/E 09/17/11,TOTAL CENSUS TRADING AREA,SOUP,DRY SOUP,UNCLE BEN'S,40,38,3,16,15,1,2,0,0,0,0,0,0,0,0,0,0,0,0,40,38,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,15,1,0,0,0,0,0,0,0,0,0,0,0,0
4 W/E 09/17/11,TOTAL CENSUS TRADING AREA,SOUP,DRY SOUP,WYLER'S,27318,25523,1795,15193,14141,1052,100,0,0,0,0,0,0,0,0,0,0,0,0,27318,25523,1795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15193,14141,1052,0,0,0,0,0,0,0,0,0,0,0,0
4 W/E 09/17/11,TOTAL CENSUS TRADING AREA,SOUP,RAMEN,INDO MIE,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4 W/E 09/17/11,TOTAL CENSUS TRADING AREA,SOUP,RAMEN,MARUCHAN,118654,110292,8362,238146,225137,13009,100,34185,25646,8539,8740,6968,1772,2923,1382,1541,9439,6055,3385,84469,84646,-178,13083,11242,1842,11663,8350,3313,12362,7437,4926,25390,18633,6757,46214,34599,11615,17187,11732,5455,1039,415,624,3358,1818,1540,191932,190538,1394,24630,20634,3996,18226,12147,6079,4397,2233,2164,29007,22851,6156
4 W/E 09/17/11,TOTAL CENSUS TRADING AREA,SOUP,RAMEN,NISSIN,18665,15747,2918,36319,24951,11368,99,9500,7040,2460,0,0,0,0,0,0,0,0,0,9165,8707,458,9500,7040,2460,0,0,0,0,0,0,9500,7040,2460,21208,11027,10181,0,0,0,0,0,0,0,0,0,15111,13924,1188,21208,11027,10181,0,0,0,0,0,0,21208,11027,10181
4 W/E 09/17/11,TOTAL CENSUS TRADING AREA,SOUP,RTS SOUP,AMY'S,13649,14629,-980,4238,4579,-341,85,0,0,0,0,0,0,0,0,0,0,0,0,13649,14629,-980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4238,4579,-341,0,0,0,0,0,0,0,0,0,0,0,0
4 W/E 09/17/11,TOTAL CENSUS TRADING AREA,SOUP,RTS SOUP,BAXTERS,16,8,7,4,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,16,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0
4 W/E 09/17/11,TOTAL CENSUS TRADING AREA,SOUP,RTS SOUP,CAMPBELL'S,320473,295802,24671,146638,131732,14906,100,62676,19036,43641,4973,727,4245,11047,1147,9900,38305,13137,25167,257796,276766,-18970,8352,4024,4328,16020,1874,14145,49352,14284,35067,20333,6870,13463,31995,8941,23054,3132,327,2805,5371,512,4858,18720,6383,12337,114643,122792,-8148,4773,1718,3055,8502,840,7663,24090,6896,17195,11294,2936,8358
4 W/E 09/17/11,TOTAL CENSUS TRADING AREA,SOUP,RTS SOUP,DOMINIQUE'S,21,17,5,7,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,21,17,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,1,0,0,0,0,0,0,0,0,0,0,0,0
4 W/E 09/17/11,TOTAL CENSUS TRADING AREA,SOUP,RTS SOUP,EARTH'S BEST,798,844,-47,228,242,-14,29,0,0,0,0,0,0,0,0,0,0,0,0,798,844,-47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,242,-14,0,0,0,0,0,0,0,0,0,0,0,0
4 W/E 09/17/11,TOTAL CENSUS TRADING AREA,SOUP,RTS SOUP,HEALTH VALLEY,4340,4245,96,1328,1297,31,71,0,22,-22,0,0,0,0,0,0,0,0,0,4340,4222,118,0,22,-22,0,0,0,0,0,0,0,22,-22,0,7,-7,0,0,0,0,0,0,0,0,0,1328,1290,38,0,7,-7,0,0,0,0,0,0,0,7,-7
4 W/E 09/17/11,TOTAL CENSUS TRADING AREA,SOUP,RTS SOUP,HEALTHY CHOICE,39882,29011,10871,20342,12439,7903,100,21401,9122,12280,645,563,82,2571,627,1943,16100,6737,9363,18480,19889,-1408,2085,1194,891,3216,1191,2025,18671,7364,11307,20606,8513,12092,12634,3784,8850,257,224,34,1546,271,1274,9537,2756,6781,7708,8655,-947,1294,533,761,1803,495,1308,11083,3027,8056,12287,3532,8755
4 W/E 09/17/11,TOTAL CENSUS TRADING AREA,SOUP,RTS SOUP,IMAGINE,2610,3193,-583,547,683,-136,54,0,0,0,0,0,0,0,0,0,0,0,0,2610,3193,-583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,547,683,-136,0,0,0,0,0,0,0,0,0,0,0,0
4 W/E 09/17/11,TOTAL CENSUS TRADING AREA,SOUP,RTS SOUP,MUIR GLEN,5796,6540,-744,1928,2180,-252,76,0,0,0,0,0,0,0,0,0,0,0,0,5796,6540,-744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1928,2180,-252,0,0,0,0,0,0,0,0,0,0,0,0
4 W/E 09/17/11,TOTAL CENSUS TRADING AREA,SOUP,RTS SOUP,PACIFIC,2235,2047,188,567,492,75,55,908,827,81,0,0,0,0,0,0,0,0,0,1327,1220,107,908,827,81,0,0,0,0,0,0,908,827,81,237,190,46,0,0,0,0,0,0,0,0,0,330,301,29,237,190,46,0,0,0,0,0,0,237,190,46
4 W/E 09/17/11,TOTAL CENSUS TRADING AREA,SOUP,RTS SOUP,PRIVATE LABEL,38878,39641,-763,21640,22048,-408,100,690,647,43,494,392,102,0,0,0,104,115,-11,38188,38994,-806,91,139,-48,494,392,102,104,115,-11,91,149,-58,533,444,89,360,288,71,0,0,0,46,52,-6,21107,21604,-497,127,103,24,360,288,71,46,52,-6,127,109,18
4 W/E 09/17/11,TOTAL CENSUS TRADING AREA,SOUP,RTS SOUP,PROGRESSO,342833,187871,154962,230495,84294,146201,100,185773,36683,149090,10051,1835,8216,58703,5249,53454,95330,20679,74650,157060,151188,5871,21690,8920,12770,68754,7084,61670,154032,25928,128104,179918,33426,146493,160173,16513,143660,7441,800,6641,56967,2486,54481,82325,9514,72812,70322,67781,2541,13440,3713,9726,64408,3286,61122,139292,12000,127293,156526,14861,141665
4 W/E 09/17/11,TOTAL CENSUS TRADING AREA,SOUP,RTS SOUP,WESTBRAE,3,3,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4 W/E 09/17/11,TOTAL CENSUS TRADING AREA,SOUP,RTS SOUP,WOLFGANG PUCK,1092,1023,69,352,333,19,13,0,0,0,0,0,0,0,0,0,0,0,0,1092,1023,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352,333,19,0,0,0,0,0,0,0,0,0,0,0,0
4 W/E 09/17/11,TOTAL CENSUS TRADING AREA,SOUP,SOUP IN OUT,NISSIN,39,40,-1,6,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,39,40,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
4 W/E 09/17/11,EAST CENSUS TA,SOUP,CONDENSED SOUP,BAR HARBOR,222,190,31,55,47,8,33,0,0,0,0,0,0,0,0,0,0,0,0,222,190,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,47,8,0,0,0,0,0,0,0,0,0,0,0,0
4 W/E 09/17/11,EAST CENSUS TA,SOUP,CONDENSED SOUP,CAMPBELL'S,95956,87867,8089,75416,65208,10208,100,18509,11857,6653,0,0,0,5961,1818,4143,6921,5040,1880,77447,76010,1437,5627,4998,629,5961,1818,4143,12882,6858,6024,17103,10644,6459,18501,9568,8933,0,0,0,7623,1930,5693,7142,4539,2603,56915,55640,1275,3736,3098,637,7623,1930,5693,14766,6470,8296,17628,8805,8823
4 W/E 09/17/11,EAST CENSUS TA,SOUP,CONDENSED SOUP,DOMINIQUE'S,12,9,3,4,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,12,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0
4 W/E 09/17/11,EAST CENSUS TA,SOUP,CONDENSED SOUP,PRIVATE LABEL,28053,26904,1149,28412,27252,1160,100,170,124,46,0,0,0,0,0,0,0,0,0,27883,26780,1103,170,124,46,0,0,0,0,0,0,170,124,46,133,90,43,0,0,0,0,0,0,0,0,0,28279,27162,1117,133,90,43,0,0,0,0,0,0,133,90,43
4 W/E 09/17/11,EAST CENSUS TA,SOUP,DRY SOUP,ALESSI,11,13,-2,4,5,-1,4,0,0,0,0,0,0,0,0,0,0,0,0,11,13,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,-1,0,0,0,0,0,0,0,0,0,0,0,0
4 W/E 09/17/11,EAST CENSUS TA,SOUP,DRY SOUP,BEAR CREEK,5522,5252,270,1373,1330,43,100,0,0,0,0,0,0,0,0,0,0,0,0,5522,5252,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1373,1330,43,0,0,0,0,0,0,0,0,0,0,0,0
4 W/E 09/17/11,EAST CENSUS TA,SOUP,DRY SOUP,BOB'S RED MILL,67,71,-4,14,14,0,11,0,18,-18,0,0,0,0,0,0,0,0,0,67,53,14,0,18,-18,0,0,0,0,0,0,0,18,-18,0,3,-3,0,0,0,0,0,0,0,0,0,14,11,3,0,3,-3,0,0,0,0,0,0,0,3,-3
4 W/E 09/17/11,EAST CENSUS TA,SOUP,DRY SOUP,CUGINO'S,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4 W/E 09/17/11,EAST CENSUS TA,SOUP,DRY SOUP,KNORR,937,988,-52,471,496,-25,84,9,37,-29,9,37,-29,0,0,0,0,0,0,928,951,-23,0,0,0,9,37,-29,0,0,0,0,26,-26,4,19,-15,4,19,-15,0,0,0,0,0,0,467,476,-10,0,0,0,4,19,-15,0,0,0,0,13,-13
4 W/E 09/17/11,EAST CENSUS TA,SOUP,DRY SOUP,LIPTON,7655,7824,-169,5400,5522,-122,100,0,0,0,0,0,0,0,0,0,0,0,0,7655,7824,-169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5400,5522,-122,0,0,0,0,0,0,0,0,0,0,0,0
4 W/E 09/17/11,EAST CENSUS TA,SOUP,DRY SOUP,MRS WEISS,11,9,2,5,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,11,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0
4 W/E 09/17/11,EAST CENSUS TA,SOUP,DRY SOUP,PRIVATE LABEL,2429,2335,94,2253,2159,94,100,149,144,5,149,144,5,0,0,0,0,0,0,2280,2191,89,0,0,0,149,144,5,0,0,0,0,0,0,126,122,5,126,122,5,0,0,0,0,0,0,2127,2037,90,0,0,0,126,122,5,0,0,0,0,0,0
4 W/E 09/17/11,EAST CENSUS TA,SOUP,DRY SOUP,SHORE LUNCH,1139,1155,-16,255,246,9,73,0,36,-36,0,0,0,0,0,0,0,0,0,1139,1120,20,0,36,-36,0,0,0,0,0,0,0,36,-36,0,8,-8,0,0,0,0,0,0,0,0,0,255,239,16,0,8,-8,0,0,0,0,0,0,0,8,-8
4 W/E 09/17/11,EAST CENSUS TA,SOUP,DRY SOUP,TURTLE ISLAND JUST FOR JOY,6,5,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4 W/E 09/17/11,EAST CENSUS TA,SOUP,DRY SOUP,TURTLE ISLAND JUST FOR JOY & TABASCO,11,21,-10,2,4,-2,2,0,0,0,0,0,0,0,0,0,0,0,0,11,21,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,-2,0,0,0,0,0,0,0,0,0,0,0,0
4 W/E 09/17/11,EAST CENSUS TA,SOUP,DRY SOUP,UNCLE BEN'S,21,15,6,8,6,2,3,0,0,0,0,0,0,0,0,0,0,0,0,21,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,2,0,0,0,0,0,0,0,0,0,0,0,0
4 W/E 09/17/11,EAST CENSUS TA,SOUP,DRY SOUP,WYLER'S,4781,4317,465,2485,2235,250,98,0,0,0,0,0,0,0,0,0,0,0,0,4781,4317,465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2485,2235,250,0,0,0,0,0,0,0,0,0,0,0,0
4 W/E 09/17/11,EAST CENSUS TA,SOUP,RAMEN,INDO MIE,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4 W/E 09/17/11,EAST CENSUS TA,SOUP,RAMEN,MARUCHAN,17336,16162,1175,41288,37626,3662,100,3748,3164,584,0,0,0,536,319,217,767,530,237,13588,12997,591,2445,2315,130,536,319,217,1303,849,454,3748,3164,584,6423,5740,683,0,0,0,190,92,97,271,161,111,34865,31886,2979,5962,5487,476,190,92,97,461,253,208,6423,5740,683
4 W/E 09/17/11,EAST CENSUS TA,SOUP,RAMEN,NISSIN,2705,2119,586,5336,3395,1941,97,1321,966,355,0,0,0,0,0,0,0,0,0,1384,1153,231,1321,966,355,0,0,0,0,0,0,1321,966,355,3042,1531,1511,0,0,0,0,0,0,0,0,0,2294,1864,430,3042,1531,1511,0,0,0,0,0,0,3042,1531,1511
4 W/E 09/17/11,EAST CENSUS TA,SOUP,RTS SOUP,AMY'S,4525,4636,-111,1442,1494,-52,95,0,0,0,0,0,0,0,0,0,0,0,0,4525,4636,-111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1442,1494,-52,0,0,0,0,0,0,0,0,0,0,0,0
4 W/E 09/17/11,EAST CENSUS TA,SOUP,RTS SOUP,BAXTERS,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4 W/E 09/17/11,EAST CENSUS TA,SOUP,RTS SOUP,CAMPBELL'S,73132,58209,14923,35177,27381,7796,100,22965,6206,16759,2127,446,1682,5860,521,5339,12086,3791,8296,50167,52003,-1836,2892,1449,1442,7987,966,7021,17946,4311,13635,10589,2744,7845,11365,2893,8473,1028,199,829,2941,235,2706,6058,1837,4222,23812,24488,-676,1338,622,716,3969,434,3535,9000,2072,6928,5118,1120,3997
4 W/E 09/17/11,EAST CENSUS TA,SOUP,RTS SOUP,DOMINIQUE'S,3,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4 W/E 09/17/11,EAST CENSUS TA,SOUP,RTS SOUP,EARTH'S BEST,255,268,-13,74,77,-3,39,0,0,0,0,0,0,0,0,0,0,0,0,255,268,-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,77,-3,0,0,0,0,0,0,0,0,0,0,0,0
4 W/E 09/17/11,EAST CENSUS TA,SOUP,RTS SOUP,HEALTH VALLEY,1122,1089,33,361,344,17,76,0,5,-5,0,0,0,0,0,0,0,0,0,1122,1084,38,0,5,-5,0,0,0,0,0,0,0,5,-5,0,2,-2,0,0,0,0,0,0,0,0,0,361,343,18,0,2,-2,0,0,0,0,0,0,0,2,-2
4 W/E 09/17/11,EAST CENSUS TA,SOUP,RTS SOUP,HEALTHY CHOICE,8074,6418,1657,4107,2817,1290,100,4245,2238,2007,231,69,162,327,76,251,3054,1586,1468,3830,4180,-351,633,506,127,558,146,412,3381,1662,1718,3994,2158,1836,2420,932,1488,107,30,77,201,35,166,1761,650,1111,1687,1885,-198,351,216,134,308,65,243,1962,686,1276,2302,898,1404
4 W/E 09/17/11,EAST CENSUS TA,SOUP,RTS SOUP,IMAGINE,753,923,-170,160,202,-42,64,0,0,0,0,0,0,0,0,0,0,0,0,753,923,-170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,202,-42,0,0,0,0,0,0,0,0,0,0,0,0
